,name,price,img
38,Apple Magic Keyboard with Touch ID and Numeric Keypad US English - Silver ((for Mac with Apple Silicon Running macOS 11.4 or Later),"17,500",https://m.media-amazon.com/images/I/71Yw0WfNfML._AC_UY218_.jpg
39,Apple Leather Case with MagSafe (for iPhone 13 Mini) - Golden Brown,"5,500",https://m.media-amazon.com/images/I/81L5duLCotL._AC_UY218_.jpg
40,Apple iPhone XR (64GB) - Coral,"33,999",https://m.media-amazon.com/images/I/51cCOStn+rL._AC_UY218_.jpg
41,Apple iPhone XR (128GB) - Black,"38,999",https://m.media-amazon.com/images/I/519KIlHA2wL._AC_UY218_.jpg
42,Apple AirTag Leather Key Ring - Forest Green,"3,590",https://m.media-amazon.com/images/I/71vH7wZ4NnS._AC_UY218_.jpg
43,Apple AirTag Leather Key Ring - Saddle Brown,"3,590",https://m.media-amazon.com/images/I/71fCQJFZLNS._AC_UY218_.jpg
44,Apple Watch Milanese Loop Band (40mm),"7,900",https://m.media-amazon.com/images/I/71NkoucqqtL._AC_UY218_.jpg
45,"Beats Studio Buds – True Wireless Noise Cancelling Earbuds – IPX4 Rating, Sweat Resistant Earphones, Compatible with Apple & Android, Class 1 Bluetooth, Built-in Microphone – Beats Red","14,499",https://m.media-amazon.com/images/I/51utxdpV8cS._AC_UY218_.jpg
46,Apple VESA Mount Adapter Kit (for iMac Pro) - Space Grey,"7,500",https://m.media-amazon.com/images/I/81rfV0kVDbL._AC_UY218_.jpg
47,Apple Watch Sport Band (40mm) - White - Regular,"3,898",https://m.media-amazon.com/images/I/61BODu6NfPL._AC_UY218_.jpg
48,"2020 Apple iPad Air with A14 Bionic chip (10.9-inch/27.69 cm, Wi-Fi, 64GB) - Space Grey (4th Generation)","49,490",https://m.media-amazon.com/images/I/71YxgZu73mL._AC_UY218_.jpg
49,Apple Silicone Case with MagSafe (for iPhone 13) - Blue Jay,"4,900",https://m.media-amazon.com/images/I/514h7q1c5PL._AC_UY218_.jpg
50,"Bharat's Real Apple Cider Vinegar, 250 Ml",160,https://m.media-amazon.com/images/I/71URkBdhMiL._AC_UY218_.jpg
51,White Apple Multi-Purpose Laptop Table with Dock Stand and Coffee Cup Holder/Study Table/Bed Table/Foldable and Portable/Ergonomic Table (New Black Table),318,https://m.media-amazon.com/images/I/81VWZ43nCfL._AC_UY218_.jpg
52,Apple TV HD (32GB),"15,900",https://m.media-amazon.com/images/I/61XiobVRcFS._AC_UY218_.jpg
53,Apple iPhone 11 (64GB) - (Product) RED,"47,900",https://m.media-amazon.com/images/I/71hh7cpWadL._AC_UY218_.jpg
54,JT Original Replacement Pencil Tips for Apple Pencil (Pack of 4) White,"3,199",https://m.media-amazon.com/images/I/413mjzaHMfL._AC_UY218_.jpg
55,Apple Watch Sport Band (44mm) - Grapefruit - Regular,"3,140",https://m.media-amazon.com/images/I/61mjwqgXsuL._AC_UY218_.jpg
56,"Apple Power Adapter Extension Cable (for MacBook Pro, MacBook, MacBook Air)","1,900",https://m.media-amazon.com/images/I/41nS9s1RhFL._AC_UY218_.jpg
57,Apple 80-AZ Battery for Car.,"7,000",https://m.media-amazon.com/images/I/81lJeQr2ZHL._AC_UY218_.jpg
58,Apple Clear Case with MagSafe (for iPhone 13 Pro Max),"4,900",https://m.media-amazon.com/images/I/61ZS6JjREML._AC_UY218_.jpg
59,Apple leaders Dust Cover for OEM TVS Platina DP5000,279,https://m.media-amazon.com/images/I/51S9IORGZzL._AC_UY218_.jpg
60,Apple Tree designer pearl and zircon Set (19 colors),449,https://m.media-amazon.com/images/I/81bBfsMCF0L._AC_UY218_.jpg
61,Apple Leather Case with MagSafe (for iPhone 13 Pro Max) - Midnight,"5,500",https://m.media-amazon.com/images/I/71HsMK5GXcL._AC_UY218_.jpg
62,"APPLE N95 PREMIUM WHITE Face Mask, Flat Fold mask, pollution mask, Dust mask with High Filteration Efficiency Pack of 2/10/20/50/100","1,150",https://m.media-amazon.com/images/I/71vBL2hQ0cL._AC_UY218_.jpg
63,Apple Leather Case with MagSafe (for iPhone 13 Pro Max) - Sequoia Green,"5,500",https://m.media-amazon.com/images/I/81klsR82-BL._AC_UY218_.jpg
64,"Adam's Apple Grandeur Collection, 230 g | Men's Grooming Gift Set | Natural Skincare | Made in India","1,299",https://m.media-amazon.com/images/I/71RVlBkxPaL._AC_UY218_.jpg
65,"New Apple Watch SE (GPS, 44mm) - Silver Aluminium Case with White Sport Band","32,900",https://m.media-amazon.com/images/I/71bVaoE6ElL._AC_UY218_.jpg
